CommonName,Latitude,Longitude,ATCOCode,NptgLocalityCode,Town
Stewarton Rail Station,55.68215385455,-4.51805752834,9100STEWRTN,ES003476,
Stirling Rail Station,56.11981675175,-3.93561953352,9100STIRLNG,ES003486,
Stonehaven Rail Station,56.96682338528,-2.22529705069,9100SHVN,ES003493,
Stow Rail Station,55.69231532217,-2.86688525572,9100STOW,ES003506,Stow
Stranraer Rail Station,54.90960226162,-5.02473747151,9100STRNRR,ES003513,
Strathcarron Rail Station,57.42273344434,-5.42861255451,9100STCN,N0067708,
Stromeferry Rail Station,57.35229778238,-5.55116067873,9100STRMFRY,N0067710,
Summerston Rail Station,55.89883606626,-4.29153851292,9100SUMRSTN,ES003573,
Tain Rail Station,57.81441958251,-4.05204911589,9100TAIN,ES003600,
Taynuilt Rail Station,56.43080777687,-5.23960997075,9100TAYNULT,ES003619,
Thornliebank Rail Station,55.81109947396,-4.31170712106,9100THLB,ES003639,
Thorntonhall Rail Station,55.76867855335,-4.25116215819,9100THAL,N0068231,
Thurso Rail Station,58.59017662246,-3.52754816978,9100THURSO,ES003643,
Troon Rail Station,55.54281117285,-4.65529954529,9100TROON,ES003704,
Tulloch Rail Station,56.88427856563,-4.70132107432,9100TULLOCH,N0067976,
Tweedbank Rail Station,55.60544797867,-2.75760488482,9100TWDBANK,N0078116,Tweedbank
Tyndrum Lower Rail Station,56.43334204137,-4.71482104384,9100TYNDRML,N0067352,
Uddingston Rail Station,55.82352777886,-4.08669764493,9100UDNGSTN,ES003737,
Uphall Rail Station,55.91904238262,-3.50211944304,9100UPHALL,ES003748,
Upper Tyndrum Rail Station,56.43466309764,-4.70372142873,9100TYNDRMU,N0067352,
Wallyford Rail Station,55.94028449166,-3.01495034452,9100WALLYFD,N0067355,
Wemyss Bay Rail Station,55.87614422451,-4.88907991247,9100WEMYSSB,ES003798,
West Calder Rail Station,55.85380336493,-3.56701674854,9100WCALDER,ES003802,
West Kilbride Rail Station,55.69615510005,-4.85174555272,9100WKILBRD,ES003812,
Wester Hailes Rail Station,55.91431779083,-3.28433917305,9100WHAILES,N0067357,
Westerton Rail Station,55.90480707757,-4.3348800427,9100WESTRTN,ES003830,
Whifflet Rail Station,55.85369161139,-4.01865514186,9100WHIFLET,ES000759,
Whinhill Rail Station,55.93837155798,-4.74669434739,9100WHINH,ES001670,
Whitecraigs Rail Station,55.79032219525,-4.31015667069,9100WTCR,N0068241,
Wick Rail Station,58.4415684108,-3.09685869893,9100WICK,ES003868,
Williamwood Rail Station,55.79368610834,-4.29033450533,9100WMWD,ES003875,
Wishaw Rail Station,55.77204244725,-3.92642485673,9100WISHAW,ES003883,
Woodhall Rail Station,55.93120621459,-4.65540102415,9100WHHL,ES003052,
Yoker Rail Station,55.89258649626,-4.38628663994,9100YOKER,N0078724,
