Series ID,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Annual 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Annual 2023,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Annual 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Nov 2025,labor_force_status,type_of_data,age,class_of_worker,industry,AI_Exposure_Score
LNU03032233,305.0,324.0,343.0,312.0,256.0,277.0,276.0,278.0,236.0,319.0,254.0,175.0,279.0,228.0,268.0,257.0,240.0,245.0,238.0,261.0,264.0,278.0,318.0,286.0,206.0,257.0,284.0,270.0,311.0,281.0,188.0,278.0,298.0,301.0,278.0,390.0,344.0,334.0,297.0,316.0,316.0,288.0,320.0,356.0,334.0,413.0,287.0,361.0,270.0,Unemployed,Number in thousands,16 years and over,Private wage and salary workers,Durable goods manufacturing,-0.244721647368421
LNU04032233,3.1,3.3,3.5,3.3,2.7,2.9,2.9,2.8,2.5,3.3,2.6,1.8,2.9,2.3,2.6,2.5,2.4,2.5,2.4,2.6,2.6,2.8,3.3,2.9,2.1,2.6,2.9,2.8,3.1,2.9,2.0,2.8,3.1,3.2,2.9,4.1,3.5,3.3,3.1,3.2,3.1,2.9,3.2,3.6,3.4,4.2,3.0,3.6,2.6,Unemployment rate,Percent or rate,16 years and over,Private wage and salary workers,Durable goods manufacturing,-0.244721647368421
LNU03032234,245.0,174.0,142.0,177.0,166.0,189.0,215.0,237.0,181.0,144.0,148.0,95.0,176.0,172.0,196.0,202.0,190.0,164.0,158.0,159.0,169.0,217.0,160.0,201.0,250.0,186.0,227.0,180.0,158.0,134.0,210.0,191.0,239.0,212.0,204.0,146.0,172.0,208.0,190.0,289.0,141.0,190.0,232.0,191.0,211.0,228.0,268.0,210.0,237.0,Unemployed,Number in thousands,16 years and over,Private wage and salary workers,Nondurable goods manufacturing,-0.7778106903225807
LNU04032234,4.4,3.1,2.5,3.0,2.9,3.2,3.7,4.1,3.3,2.7,2.7,1.8,3.1,3.1,3.6,3.6,3.4,3.0,2.9,2.9,3.0,3.9,2.8,3.5,4.6,3.4,4.2,3.4,2.9,2.4,3.9,3.6,4.5,4.0,3.9,2.8,3.2,3.8,3.5,5.2,2.6,3.6,4.3,3.7,4.0,4.4,5.0,4.0,4.5,Unemployment rate,Percent or rate,16 years and over,Private wage and salary workers,Nondurable goods manufacturing,-0.7778106903225807
LNU03032235,956.0,983.0,881.0,805.0,819.0,799.0,804.0,724.0,768.0,699.0,666.0,688.0,799.0,992.0,1039.0,846.0,644.0,855.0,855.0,758.0,766.0,889.0,789.0,735.0,810.0,832.0,936.0,926.0,939.0,725.0,718.0,988.0,965.0,931.0,848.0,906.0,924.0,897.0,892.0,1135.0,967.0,933.0,862.0,1005.0,1001.0,877.0,891.0,928.0,1092.0,Unemployed,Number in thousands,16 years and over,Private wage and salary workers,Wholesale and retail trade,0.0685773676470588
LNU04032235,4.8,4.9,4.6,4.2,4.2,4.1,4.1,3.7,4.0,3.6,3.5,3.6,4.1,5.1,5.4,4.4,3.3,4.4,4.4,3.8,3.8,4.5,4.0,3.6,4.0,4.2,4.6,4.7,4.8,3.8,3.7,5.1,4.9,4.8,4.4,4.7,4.8,4.5,4.6,5.6,4.8,4.7,4.3,5.1,5.0,4.4,4.7,4.8,5.6,Unemployment rate,Percent or rate,16 years and over,Private wage and salary workers,Wholesale and retail trade,0.0685773676470588
LNU03032236,365.0,409.0,433.0,287.0,348.0,323.0,310.0,349.0,337.0,273.0,360.0,349.0,345.0,345.0,377.0,390.0,298.0,282.0,263.0,374.0,370.0,379.0,361.0,346.0,322.0,342.0,351.0,424.0,401.0,358.0,413.0,378.0,432.0,365.0,373.0,342.0,349.0,308.0,375.0,274.0,349.0,360.0,280.0,322.0,328.0,329.0,451.0,340.0,371.0,Unemployed,Number in thousands,16 years and over,Private wage and salary workers,Transportation and utilities,-0.3418978
LNU04032236,4.5,5.1,5.1,3.4,4.1,3.8,3.7,4.3,4.0,3.3,4.2,4.0,4.1,4.2,4.5,4.6,3.6,3.3,3.1,4.5,4.4,4.7,4.5,4.1,3.9,4.1,4.3,5.2,4.9,4.4,5.0,4.5,5.1,4.3,4.6,4.2,4.3,3.8,4.6,3.2,4.1,4.2,3.3,3.9,3.9,3.9,5.5,3.9,4.4,Unemployment rate,Percent or rate,16 years and over,Private wage and salary workers,Transportation and utilities,-0.3418978
LNU03032237,102.0,91.0,58.0,69.0,70.0,80.0,62.0,84.0,85.0,94.0,57.0,67.0,77.0,114.0,87.0,84.0,38.0,73.0,85.0,64.0,106.0,117.0,106.0,100.0,86.0,88.0,156.0,121.0,96.0,128.0,119.0,147.0,145.0,148.0,98.0,71.0,58.0,98.0,115.0,152.0,148.0,133.0,119.0,143.0,103.0,140.0,118.0,177.0,125.0,Unemployed,Number in thousands,16 years and over,Private wage and salary workers,Information,1.2675550444444446
LNU04032237,4.2,3.7,2.3,2.7,2.9,3.1,2.4,3.2,3.2,3.3,2.1,2.4,2.9,3.9,3.2,3.1,1.4,2.5,3.1,2.4,4.1,4.3,3.7,3.7,3.1,3.2,5.5,4.3,3.6,5.0,4.7,5.9,5.6,6.0,3.8,2.7,2.3,3.9,4.4,5.7,5.4,5.0,4.6,5.5,4.0,5.5,4.5,7.0,5.0,Unemployment rate,Percent or rate,16 years and over,Private wage and salary workers,Information,1.2675550444444446
